,yearstart,locationabbr,locationdesc,data_value,sample_size,education,income,race/ethnicity,locationid
13,2011,al,alabama,38.5,1112.0,,0,,1
14,2011,al,alabama,34.8,1367.0,,1,,1
15,2011,al,alabama,35.8,757.0,,2,,1
16,2011,al,alabama,32.3,861.0,,3,,1
17,2011,al,alabama,34.1,785.0,,4,,1
18,2011,al,alabama,28.8,1125.0,,5,,1
19,2011,al,alabama,23.8,1297.0,,6,,1
41,2011,al,alabama,28.4,1112.0,,0,,1
42,2011,al,alabama,31.9,1367.0,,1,,1
43,2011,al,alabama,35.7,757.0,,2,,1
44,2011,al,alabama,36.6,861.0,,3,,1
45,2011,al,alabama,36.1,785.0,,4,,1
46,2011,al,alabama,38.5,1125.0,,5,,1
47,2011,al,alabama,36.0,1297.0,,6,,1
62,2011,al,alabama,39.7,1148.0,,5,,1
64,2011,al,alabama,40.1,852.0,,3,,1
68,2011,al,alabama,41.8,792.0,,4,,1
70,2011,al,alabama,43.9,1340.0,,1,,1
71,2011,al,alabama,44.8,1276.0,,6,,1
73,2011,al,alabama,45.5,749.0,,2,,1
80,2011,al,alabama,51.8,1074.0,,0,,1
97,2011,al,alabama,35.5,1063.0,,0,,1
98,2011,al,alabama,27.7,1326.0,,1,,1
99,2011,al,alabama,29.4,738.0,,2,,1
100,2011,al,alabama,19.7,849.0,,3,,1
101,2011,al,alabama,19.9,793.0,,4,,1
102,2011,al,alabama,14.0,1137.0,,5,,1
103,2011,al,alabama,26.0,1229.0,,6,,1
128,2011,al,alabama,38.8,1061.0,,0,,1
129,2011,al,alabama,36.7,1346.0,,1,,1
130,2011,al,alabama,39.3,742.0,,2,,1
131,2011,al,alabama,48.7,853.0,,3,,1
132,2011,al,alabama,41.3,786.0,,4,,1
133,2011,al,alabama,53.5,1133.0,,5,,1
134,2011,al,alabama,37.9,1270.0,,6,,1
156,2011,al,alabama,11.1,1055.0,,0,,1
157,2011,al,alabama,10.9,1339.0,,1,,1
158,2011,al,alabama,12.0,740.0,,2,,1
159,2011,al,alabama,16.5,846.0,,3,,1
160,2011,al,alabama,16.4,784.0,,4,,1
161,2011,al,alabama,21.2,1131.0,,5,,1
162,2011,al,alabama,15.6,1250.0,,6,,1
185,2011,al,alabama,22.3,1054.0,,0,,1
186,2011,al,alabama,19.6,1338.0,,1,,1
187,2011,al,alabama,25.0,742.0,,2,,1
188,2011,al,alabama,28.3,847.0,,3,,1
189,2011,al,alabama,23.2,780.0,,4,,1
190,2011,al,alabama,28.5,1132.0,,5,,1
191,2011,al,alabama,22.0,1259.0,,6,,1
200,2011,al,alabama,23.4,757.0,,2,,1
207,2011,al,alabama,18.1,1102.0,,0,,1
213,2011,al,alabama,26.2,1349.0,,6,,1
214,2011,al,alabama,28.8,803.0,,4,,1
219,2011,al,alabama,29.4,1158.0,,5,,1
220,2011,al,alabama,27.0,868.0,,3,,1
221,2011,al,alabama,20.2,1378.0,,1,,1
238,2011,al,alabama,38.5,1113.0,,0,,1
239,2011,al,alabama,38.6,1386.0,,1,,1
240,2011,al,alabama,35.2,760.0,,2,,1
241,2011,al,alabama,27.9,874.0,,3,,1
242,2011,al,alabama,25.6,805.0,,4,,1
244,2011,al,alabama,20.8,1164.0,,5,,1
245,2011,al,alabama,39.5,1368.0,,6,,1
267,2012,al,alabama,40.8,1225.0,,0,,1
268,2012,al,alabama,35.2,1598.0,,1,,1
269,2012,al,alabama,29.0,871.0,,2,,1
270,2012,al,alabama,34.5,1014.0,,3,,1
271,2012,al,alabama,34.5,1017.0,,4,,1
272,2012,al,alabama,28.9,1414.0,,5,,1
273,2012,al,alabama,28.4,1512.0,,6,,1
295,2012,al,alabama,28.2,1225.0,,0,,1
296,2012,al,alabama,31.8,1598.0,,1,,1
297,2012,al,alabama,37.5,871.0,,2,,1
298,2012,al,alabama,37.7,1014.0,,3,,1
300,2012,al,alabama,36.1,1017.0,,4,,1
